Open,Adj Close,Volume,Company,Direction
10.136,10.138,1180500,1,0
9.946,10.05,506000,1,0
9.88,9.91,1162500,1,0
9.88,9.832,1096500,1,0
9.82,9.922,2783000,1,0
9.94,9.908,2596500,1,0
9.91,9.892,1036000,1,0
9.82,9.92,639000,1,0
9.78,9.83,594000,1,0
9.812,9.802,436000,1,0
9.8,9.768,1199500,1,0
9.762,9.734,1492500,1,0
9.8,9.792,958500,1,0
9.852,9.81,490000,1,0
9.85,9.952,526000,1,0
9.922,9.946,945000,1,0
9.616,9.636,1284000,1,0
9.646,9.79,928500,1,0
9.778,9.76,752000,1,0
9.736,9.47,2372500,1,0
9.332,9.18,4826000,1,0
9.228,9.164,2226000,1,0
9.22,9.284,2166000,1,0
9.226,9.28,2425000,1,0
9.26,9.266,1834000,1,0
9.174,9.206,2522000,1,0
9.206,9.28,3653500,1,0
9.262,9.356,902500,1,0
9.22,9.28,1258000,1,0
9.154,9.14,878000,1,0
9.03,9.044,2728500,1,0
8.992,8.998,1911000,1,0
9.06,9.09,1989000,1,0
8.904,8.966,874500,1,0
8.83,8.87,835000,1,0
8.61,8.634,1217500,1,0
8.764,8.678,2358000,1,0
8.714,8.77,1204500,1,0
8.62,8.508,1702500,1,0
8.152,8.396,3888000,1,0
8.402,8.646,2259500,1,0
8.522,8.508,1036500,1,0
8.632,8.758,1197500,1,0
8.624,8.752,2066500,1,0
8.604,8.776,968500,1,0
8.44,8.48,2255500,1,0
8.616,8.698,2001500,1,0
8.452,8.306,1200500,1,0
7.9,7.784,4167500,1,0
7.892,7.94,1869500,1,0
7.54,7.592,2145000,1,0
7.986,8.204,2632000,1,0
8,8.142,1833000,1,0
8.502,8.77,1835500,1,0
8.834,8.702,1443500,1,0
8.544,8.596,1488500,1,0
9.18,8.928,2518000,1,0
8.916,8.762,2179000,1,0
8.93,9.172,6165500,1,0
8.79,9.138,2746000,1,0
9.548,9.628,3060500,1,0
9.484,9.656,2230000,1,0
9.524,9.69,3479500,1,0
9.668,9.7,1677500,1,0
9.706,9.608,1886500,1,0
9.818,10.018,2363000,1,0
10.142,10.016,2669500,1,0
10.016,10.104,2581000,1,0
10.08,10.098,2780000,1,0
10.13,10.36,1892500,1,0
10.566,10.604,3006000,1,0
