Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF
2020-01-02,1180500,856500,22622100,0,0,0,0,0,4293200,0
2020-01-03,506000,0,21116200,4466300,1840300,729100,0,0,2728500,0
2020-01-06,1162500,755500,20813700,4910800,2934200,1678700,0,0,4712100,0
2020-01-07,0,0,0,4920300,0,1179300,917700,917700,4667000,0
2020-01-08,2783000,0,27746500,0,2651600,1665900,0,0,2925200,0
2020-01-09,0,0,21385000,0,0,0,834800,834800,2874000,400
2020-01-10,0,0,0,0,0,0,863800,863800,5373200,400
2020-01-13,639000,1272300,21626500,4529600,1857400,1061100,0,0,4920700,0
2020-01-14,594000,0,0,7310500,0,1768800,811900,811900,0,0
2020-01-15,0,1085900,21417900,0,0,0,0,0,0,1100
2020-01-16,0,1158900,23865400,7185600,2108300,1041300,0,0,2269800,0
2020-01-17,0,0,0,8752800,3053300,1948900,0,0,1846200,400
2020-01-20,0,0,0,0,0,0,315700,315700,0,0
2020-01-21,0,0,0,6914100,0,1398100,543400,543400,0,100
2020-01-22,0,0,0,0,2423100,0,614400,614400,0,0
2020-01-23,526000,0,19680800,0,1564900,0,552000,552000,4581700,0
2020-01-24,945000,0,0,0,0,0,0,0,0,0
2020-01-27,1284000,0,32078100,6420000,2175500,1368600,0,0,9271000,0
2020-01-28,928500,812600,24899900,5644300,2961900,1502300,531200,531200,7210600,100
2020-01-29,0,0,34754500,0,0,0,578100,578100,6089200,0
2020-01-30,0,870900,0,5287100,3838500,1033700,0,0,5431100,0
2020-01-31,0,0,0,0,0,0,842700,842700,0,0
2020-02-03,0,1811100,30107000,0,0,0,685500,685500,5344100,200
2020-02-04,2166000,1578700,36433300,6653700,4190500,1653600,908200,908200,0,0
2020-02-05,2425000,0,0,0,0,0,814000,814000,0,300
2020-02-06,1834000,662600,27751400,9591500,2500600,3333700,1249800,1249800,3259800,0
2020-02-07,2522000,0,33529100,12936000,0,0,0,0,0,0
2020-02-10,3653500,929300,35844300,5279300,0,0,0,0,3547500,0
2020-02-11,902500,0,0,0,1195300,2411100,0,0,0,0
2020-02-12,1258000,587900,0,5244200,1567200,3782300,0,0,4969300,0
2020-02-13,0,0,35295800,3642400,0,0,1256500,1256500,3460700,0
2020-02-14,2728500,0,23149500,4242400,1227500,1117900,1301200,1301200,0,0
2020-02-17,0,0,0,0,0,0,673300,673300,0,0
2020-02-18,1911000,2345700,27792200,5317900,2171400,1231700,0,0,2692100,0
2020-02-19,1989000,1234900,0,4865900,0,0,1118500,1118500,3497100,0
2020-02-20,874500,0,0,0,4034000,1612100,0,0,0,100
2020-02-21,835000,0,0,0,0,2337300,677200,677200,0,0
2020-02-24,1217500,0,68311100,6102000,2817100,0,0,0,4669900,0
2020-02-25,0,0,0,0,0,0,1419500,1419500,0,0
2020-02-26,1204500,0,56206100,0,2858000,0,0,0,0,0
2020-02-27,0,0,0,9014200,0,2502800,1247900,1247900,0,5100
2020-02-28,3888000,2722600,97012700,10456000,6853700,3384800,0,0,7163400,0
2020-03-02,2259500,2117900,71030800,9483100,4291500,2321900,1645500,1645500,6001300,0
2020-03-03,0,0,0,0,0,0,0,0,0,1000
2020-03-04,1197500,1223800,49814400,7306400,4289700,2573300,1993200,1993200,4213600,700
2020-03-05,2066500,0,47817300,6978500,3029900,2289900,0,0,6867200,600
2020-03-06,968500,1165600,0,9745200,3886200,2426100,0,0,0,1100
2020-03-09,2255500,1374800,0,13169500,0,2388800,0,0,0,0
2020-03-10,2001500,0,65354400,15378100,6525600,2474300,1748800,1748800,0,0
2020-03-11,0,0,0,10530100,0,2212100,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,11802900,200
2020-03-13,1869500,0,92727400,9943000,0,2637100,2351200,2351200,0,300
2020-03-16,2145000,0,0,0,0,2918800,0,0,9104500,0
2020-03-17,2632000,1702400,81059800,10799600,6370100,2956100,2008600,2008600,8603800,200
2020-03-18,1833000,3626500,81593200,14550100,0,0,0,0,8460300,3000
2020-03-19,1835500,2382900,0,0,0,0,2845400,2845400,7809200,1000
2020-03-20,0,0,0,0,0,0,0,0,0,300
2020-03-23,1488500,0,0,19601600,8149000,2892900,1625700,1625700,8613400,0
2020-03-24,0,2281900,82516700,0,0,0,2435700,2435700,11939500,600
2020-03-25,0,0,0,0,0,0,1869400,1869400,5177200,0
2020-03-26,6165500,1465400,64568100,9991800,5750300,2233700,1187900,1187900,7463400,0
