Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF,1,2,3,4,5,6,7,8,9,10
2020-01-02,0,0,0,0,0,0,0,0,0,0,1180500.0,856500.0,22622100.0,0.0,4293200.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0,0,0,0,0,0,0,0,0,0,506000.0,0.0,21116200.0,4466300.0,2728500.0,1840300.0,729100.0,0.0,0.0,0.0
2020-01-06,0,0,0,0,0,0,0,0,0,0,1162500.0,755500.0,20813700.0,4910800.0,4712100.0,2934200.0,1678700.0,0.0,0.0,0.0
2020-01-07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4920300.0,4667000.0,0.0,1179300.0,917700.0,917700.0,0.0
2020-01-08,0,0,0,0,0,0,0,0,0,0,2783000.0,0.0,27746500.0,0.0,2925200.0,2651600.0,1665900.0,0.0,0.0,0.0
2020-01-09,0,0,0,0,0,0,0,0,0,0,0.0,0.0,21385000.0,0.0,2874000.0,0.0,0.0,834800.0,834800.0,400.0
2020-01-10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5373200.0,0.0,0.0,863800.0,863800.0,400.0
2020-01-13,0,0,0,0,0,0,0,0,0,0,639000.0,1272300.0,21626500.0,4529600.0,4920700.0,1857400.0,1061100.0,0.0,0.0,0.0
2020-01-14,0,0,0,0,0,0,0,0,0,0,594000.0,0.0,0.0,7310500.0,0.0,0.0,1768800.0,811900.0,811900.0,0.0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0.0,1085900.0,21417900.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
2020-01-16,0,0,0,0,0,0,0,0,0,0,0.0,1158900.0,23865400.0,7185600.0,2269800.0,2108300.0,1041300.0,0.0,0.0,0.0
2020-01-17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,8752800.0,1846200.0,3053300.0,1948900.0,0.0,0.0,400.0
2020-01-20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315700.0,315700.0,0.0
2020-01-21,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6914100.0,0.0,0.0,1398100.0,543400.0,543400.0,100.0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2423100.0,0.0,614400.0,614400.0,0.0
